country,lat,lon
C̫te d'Ivoire (Ivory Coast),7.9897371,-5.5679458
Italy,42.6384261,12.674297
USA,39.7837304,-100.4458825
South Africa,-28.8166236,24.991639
Philippines,12.7503486,122.7312101
Democratic Republic of the Congo,-2.9814344,23.8222636
Gabon,-0.8999695,11.6899699
Sudan (South Sudan),7.8699431,29.6667897
Uganda,1.5333554,32.2166578
England,52.7954791,-0.540240237
Russia,64.6863136,97.7453061
